Date,Category,Gender,Location,Language,Video Duration,Time most users are viewing,Age_Group
1/24/2022,Clothing,Male,Himachal Pradesh,Konkani,26,30,30-50
02-08-2022,Clothing,Male,Rajasthan,Hindi,14,24,Below 18
11/27/2022,Games,Female,West Bengal,Assamese,11,4,30-50
07-04-2022,Electronics,Male,Tamil Nadu,Konkani,5,1,18-30
5/30/2022,Baby,Female,Rajasthan,Tamil,17,16,30-50
06-01-2022,Games,Male,Bihar,Telugu,6,1,18-30
6/27/2022,Garden,Male,Madhya Pradesh,Kashmiri,30,26,30-50
04-01-2022,Music,Male,Assam,Bangla,5,21,18-30
01-11-2022,Garden,Female,Jharkhand,Dogri,15,25,30-50
2/23/2022,Games,Female,Bihar,Assamese,11,20,Below 18
12-02-2022,Home,Female,Chandigarh,Konkani,26,1,30-50
5/18/2022,Games,Female,Puducherry,Sindhi,22,28,Below 18
3/29/2022,Movies,Male,Telangana,Maithili,14,24,30-50
03-11-2022,Music,Female,Haryana,Bodo,5,23,30-50
12/14/2022,Games,Female,Kerala,Gujarati,7,19,18-30
6/20/2022,Toys,Male,Punjab,Tamil,8,25,Below 18
7/24/2022,Industrial,Male,Maharashtra,Tamil,26,20,30-50
6/20/2022,Electronics,Female,Andaman and Nicobar,Gujarati,9,23,30-50
3/27/2022,Beauty,Male,Telangana,Kannada,30,18,30-50
11-09-2022,Movies,Female,Manipur,Konkani,24,15,30-50
02-01-2022,Garden,Male,Haryana,Santali,24,16,18-30
07-03-2022,Sports,Female,Delhi,Tamil,20,29,18-30
10/27/2022,Kids,Female,Chandigarh,Hindi,9,29,30-50
10-09-2022,Electronics,Male,Odisha,Bodo,25,8,30-50
3/22/2022,Kids,Female,Uttarakhand,Manipuri,16,3,30-50
6/28/2022,Kids,Female,Assam,Santali,6,14,18-30
4/21/2022,Beauty,Male,Bihar,Punjabi,9,10,30-50
03-01-2022,Toys,Male,Tamil Nadu,Manipuri,22,0,18-30
11/14/2022,Tools,Male,Rajasthan,English,21,12,18-30
05-06-2022,Sports,Female,Telangana,Konkani,16,7,Below 18
12-09-2022,Electronics,Male,Andhra Pradesh,Maithili,23,5,30-50
7/17/2022,Music,Female,Puducherry,Assamese,11,21,18-30
03-04-2022,Books,Female,Assam,Hindi,8,14,30-50
11/15/2022,Music,Female,Rajasthan,Kashmiri,15,3,18-30
09-10-2022,Games,Male,Uttar Pradesh,English,27,13,30-50
4/26/2022,Sports,Male,Andaman and Nicobar,Urdu,25,22,Below 18
07-01-2022,Garden,Male,Bihar,Santali,21,24,18-30
3/27/2022,Home,Female,Arunachal Pradesh,Konkani,5,21,30-50
02-07-2022,Shoes,Male,Madhya Pradesh,Konkani,10,28,18-30
2/19/2022,Computers,Male,Sikkim,Manipuri,30,17,18-30
01-05-2022,Clothing,Male,Telangana,Tamil,9,10,30-50
3/15/2022,Beauty,Male,Sikkim,Malayalam,13,16,30-50
3/13/2022,Computers,Male,Himachal Pradesh,Gujarati,8,26,18-30
04-09-2022,Books,Female,Kerala,Bangla,6,22,30-50
05-11-2022,Shoes,Female,Himachal Pradesh,Nepali,29,18,18-30
5/14/2022,Home,Female,Himachal Pradesh,Marathi,14,30,30-50
3/25/2022,Music,Male,Nagaland,Hindi,5,21,30-50
2/26/2022,Garden,Male,Puducherry,Nepali,27,19,18-30
5/17/2022,Shoes,Male,Uttar Pradesh,Kashmiri,25,12,18-30
05-02-2022,Garden,Male,Kerala,Punjabi,24,23,30-50
12-07-2022,Shoes,Male,Maharashtra,Punjabi,26,13,18-30
04-04-2022,Health,Male,Telangana,Gujarati,17,19,18-30
3/15/2022,Electronics,Male,Chhattisgarh,Oriya,16,9,18-30
02-05-2022,Industrial,Male,Gujarat,Bodo,30,24,18-30
05-04-2022,Computers,Male,Dadra and Nagar Haveli,Telugu,23,14,18-30
01-06-2022,Shoes,Female,Andhra Pradesh,Gujarati,24,7,18-30
07-08-2022,Games,Female,Meghalaya,Oriya,17,12,30-50
3/14/2022,Toys,Female,Tripura,Bangla,15,11,18-30
8/22/2022,Jewelry,Female,Dadra and Nagar Haveli,Nepali,15,20,18-30
07-08-2022,Books,Female,Andaman and Nicobar,Marathi,25,15,18-30
12/20/2022,Outdoors,Male,Assam,Telugu,5,20,30-50
10-01-2022,Clothing,Male,Sikkim,Sindhi,17,8,30-50
7/27/2022,Computers,Female,Karnataka,Sindhi,20,13,18-30
04-07-2022,Toys,Male,Telangana,Tamil,27,10,18-30
06-11-2022,Computers,Female,Gujarat,Dogri,17,30,30-50
1/30/2022,Automotive,Male,Tripura,Kannada,16,17,18-30
12-05-2022,Outdoors,Female,Andaman and Nicobar,Gujarati,18,13,30-50
02-04-2022,Kids,Female,Haryana,Tamil,19,13,30-50
2/14/2022,Computers,Female,Manipur,Maithili,27,28,30-50
6/14/2022,Industrial,Female,Maharashtra,English,15,6,30-50
07-04-2022,Home,Female,Mizoram,Malayalam,28,12,18-30
04-02-2022,Jewelry,Male,Sikkim,Assamese,15,15,18-30
12/18/2022,Baby,Female,Chhattisgarh,Bodo,15,9,Below 18
1/15/2022,Beauty,Female,Maharashtra,Oriya,13,17,30-50
2/26/2022,Automotive,Male,Sikkim,Kashmiri,18,22,30-50
09-04-2022,Jewelry,Female,West Bengal,English,12,2,18-30
10-11-2022,Movies,Female,Uttar Pradesh,Urdu,14,28,18-30
4/15/2022,Industrial,Female,Madhya Pradesh,Marathi,24,30,30-50
4/29/2022,Beauty,Female,Punjab,Bodo,10,26,Below 18
6/27/2022,Shoes,Female,Gujarat,Bodo,6,3,30-50
11/25/2022,Home,Female,West Bengal,Oriya,28,12,Below 18
10-04-2022,Grocery,Male,Delhi,Punjabi,10,2,30-50
4/17/2022,Grocery,Female,Uttar Pradesh,Kashmiri,7,8,30-50
04-05-2022,Games,Male,West Bengal,Bodo,10,12,18-30
8/18/2022,Music,Female,Punjab,English,26,12,30-50
10/26/2022,Tools,Male,Goa,Oriya,14,15,30-50
1/31/2022,Sports,Female,Arunachal Pradesh,Bangla,10,30,30-50
9/26/2022,Movies,Male,Jammu and Kashmir,Hindi,9,6,Below 18
6/28/2022,Clothing,Female,Puducherry,Kannada,28,9,18-30
7/23/2022,Shoes,Male,Himachal Pradesh,Kashmiri,24,20,18-30
10/20/2022,Books,Male,Goa,Konkani,19,30,30-50
11/15/2022,Games,Female,Karnataka,Punjabi,23,22,30-50
7/18/2022,Books,Male,Tripura,Tamil,21,7,18-30
06-04-2022,Garden,Male,Delhi,Urdu,18,12,18-30
3/21/2022,Music,Female,Himachal Pradesh,Kashmiri,29,23,30-50
04-10-2022,Toys,Male,Nagaland,English,15,1,18-30
3/28/2022,Shoes,Male,Madhya Pradesh,Punjabi,21,1,30-50
03-05-2022,Computers,Female,Dadra and Nagar Haveli,Manipuri,8,1,Below 18
05-11-2022,Automotive,Male,Chhattisgarh,Nepali,27,6,18-30
